merge_mode,frame,island_mbs,island_vs_edited_max,island_vs_edited_mean,island_mbs_differing,island_mbs_visible,skip_vs_orig_max,skip_mbs_differing,skip_vs_orig_mean,skip_mbs_visible,nongadget_vs_orig_max,nongadget_mbs_differing,nongadget_vs_orig_mean,nongadget_mbs_visible,gadget_vs_edited_max,gadget_mean_luma
baseline_full_reencode,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
baseline_full_reencode,14,920,0,0.0000,0,0,24,1318,0.2997,42,24,1318,0.2997,42,0,2.44
baseline_full_reencode,15,920,0,0.0000,0,0,26,2074,0.6245,73,26,2074,0.6245,73,0,2.44
baseline_full_reencode,16,0,0,0.0000,0,0,31,3232,1.2178,307,31,3232,1.2178,307,0,NaN
baseline_full_reencode,17,0,0,0.0000,0,0,26,3468,1.3496,153,26,3468,1.3496,153,0,NaN
baseline_full_reencode,18,0,0,0.0000,0,0,25,3545,1.6606,301,25,3545,1.6606,301,0,NaN
baseline_full_reencode,19,0,0,0.0000,0,0,33,3560,1.7495,261,33,3560,1.7495,261,0,NaN
baseline_full_reencode,20,0,0,0.0000,0,0,38,3570,1.8101,258,38,3570,1.8101,258,0,NaN
baseline_full_reencode,21,0,0,0.0000,0,0,28,3580,1.9670,310,28,3580,1.9670,310,0,NaN
