scenario,compare_to,halo_mbs,decode_mode,gadget_max,halo_max,skip_in_max,outside_i_max,island_max,full_max,full_mean
full_orig,pixel_oracle,0,naive_pred_dump,255,0,239,239,255,255,79.997
full_edited,pixel_oracle,0,naive_pred_dump,255,0,239,239,255,255,86.380
spliced,pixel_oracle,0,naive_pred_dump,255,0,239,239,255,255,86.397
spliced,full_orig,0,naive_pred_dump,255,0,0,0,255,255,13.517
spliced,full_edited,0,naive_pred_dump,0,0,255,255,0,255,6.712
full_orig,pixel_oracle,0,scan_intra4x4,255,0,239,239,255,255,79.972
full_edited,pixel_oracle,0,scan_intra4x4,255,0,239,239,255,255,95.379
spliced,pixel_oracle,0,scan_intra4x4,255,0,239,239,255,255,95.510
spliced,full_orig,0,scan_intra4x4,255,0,0,0,255,255,24.247
spliced,full_edited,0,scan_intra4x4,106,0,255,255,106,255,7.885
full_orig,pixel_oracle,1,naive_pred_dump,255,229,239,239,255,255,79.997
full_edited,pixel_oracle,1,naive_pred_dump,255,229,239,239,255,255,86.380
spliced,pixel_oracle,1,naive_pred_dump,255,229,239,239,255,255,86.349
spliced,full_orig,1,naive_pred_dump,255,255,0,0,255,255,14.291
spliced,full_edited,1,naive_pred_dump,0,0,255,255,0,255,5.938
full_orig,pixel_oracle,1,scan_intra4x4,255,229,239,239,255,255,79.972
full_edited,pixel_oracle,1,scan_intra4x4,255,229,239,239,255,255,95.379
spliced,pixel_oracle,1,scan_intra4x4,255,229,239,239,255,255,95.322
spliced,full_orig,1,scan_intra4x4,255,255,0,0,255,255,25.009
spliced,full_edited,1,scan_intra4x4,26,62,255,255,62,255,6.802
full_orig,pixel_oracle,2,naive_pred_dump,255,236,239,239,255,255,79.997
full_edited,pixel_oracle,2,naive_pred_dump,255,236,239,239,255,255,86.380
spliced,pixel_oracle,2,naive_pred_dump,255,236,239,239,255,255,86.343
spliced,full_orig,2,naive_pred_dump,255,255,0,0,255,255,14.647
spliced,full_edited,2,naive_pred_dump,0,0,255,255,0,255,5.582
full_orig,pixel_oracle,2,scan_intra4x4,255,236,239,239,255,255,79.972
full_edited,pixel_oracle,2,scan_intra4x4,255,236,239,239,255,255,95.379
spliced,pixel_oracle,2,scan_intra4x4,255,236,239,239,255,255,95.325
spliced,full_orig,2,scan_intra4x4,255,255,0,0,255,255,25.416
spliced,full_edited,2,scan_intra4x4,0,0,255,255,0,255,6.386
